battle_time,event_id,player_brawler_name,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
2024-10-05 04:29:22,15000011,COLT,gemGrab,Undermine,ranked,gemGrab,victory,113.0,,9.0,#JJVGPCLP,hyperbolu,16000001.0,COLT,11.0,524.0,#2LR98LGQCQ,ElFabulosoJoe,16000034,JACKY,9,387,#JJVGPCLP,hyperbolu,16000001,COLT,11,524,#PJUURVJ0V,мой банан,16000019.0,PENNY,9.0,464.0,,,,,,,,,,,,
2024-09-02 22:36:44,15000037,FRANK,duoShowdown,Feast or Famine,ranked,duoShowdown,,,2.0,7.0,,,,,,,#JJVGPCLP,hyperbolu,16000020,FRANK,9,259,#8JYJY298,FruityPebbles,16000031,MR. P,9,406,,,,,,,,,,,,,,,,,,
2024-06-13 18:03:21,15000548,8-BIT,knockout,Out in the Open,ranked,knockout,defeat,117.0,,-3.0,#PQQ2R82P,alpha,16000043.0,EDGAR,6.0,208.0,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,264,#298C02J,KevinDaBoss,16000015,PIPER,7,203,#RPVQJRVCJ,TOXICO🦠🧟‍♂️,16000006.0,BARLEY,9.0,238.0,,,,,,,,,,,,
2024-06-13 18:00:52,15000548,8-BIT,knockout,Out in the Open,ranked,knockout,victory,61.0,,9.0,#298C02J,KevinDaBoss,16000015.0,PIPER,7.0,194.0,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,255,#298C02J,KevinDaBoss,16000015,PIPER,7,194,#RPVQJRVCJ,TOXICO🦠🧟‍♂️,16000006.0,BARLEY,9.0,227.0,,,,,,,,,,,,
2024-06-13 17:59:22,15000548,8-BIT,knockout,Out in the Open,ranked,knockout,victory,45.0,,8.0,#298C02J,KevinDaBoss,16000015.0,PIPER,7.0,186.0,#298C02J,KevinDaBoss,16000015,PIPER,7,186,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,247,#RPVQJRVCJ,TOXICO🦠🧟‍♂️,16000006.0,BARLEY,9.0,217.0,,,,,,,,,,,,
2024-06-13 17:57:58,15000548,8-BIT,knockout,Out in the Open,ranked,knockout,defeat,98.0,,-3.0,#GQQV9LCRR,caden,16000077.0,LARRY & LAWRIE,9.0,187.0,#GL2GYP0CU,TTGZY,16000004,RICO,7,172,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,250,#298C02J,KevinDaBoss,16000030.0,EMZ,4.0,31.0,,,,,,,,,,,,
2024-06-13 17:55:46,15000548,8-BIT,knockout,Out in the Open,ranked,knockout,victory,102.0,,8.0,#20J22PPV0,AXELGHOST08,16000026.0,BIBI,6.0,148.0,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,242,#298C02J,KevinDaBoss,16000030,EMZ,4,23,#20J22PPV0,AXELGHOST08,16000026.0,BIBI,6.0,148.0,,,,,,,,,,,,
2024-06-13 17:53:16,15000147,8-BIT,gemGrab,Acute Angle,ranked,gemGrab,defeat,141.0,,-3.0,#298C02J,KevinDaBoss,16000030.0,EMZ,4.0,23.0,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,245,#298C02J,KevinDaBoss,16000030,EMZ,4,23,#LPQCVUJC9,Saulrompe,16000061.0,GUS,5.0,107.0,,,,,,,,,,,,
2024-06-13 17:49:50,15000147,8-BIT,gemGrab,Acute Angle,ranked,gemGrab,victory,103.0,,10.0,#RRV9229JP,ELPRIMOO,16000032.0,MAX,9.0,204.0,#28RC99L9LR,brawler,16000017,TARA,5,168,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,235,#RRV9229JP,ELPRIMOO,16000032.0,MAX,9.0,204.0,,,,,,,,,,,,
2024-06-12 22:37:05,15000292,BROCK,hotZone,Open Business,ranked,hotZone,victory,114.0,,9.0,#8JYJY298,FruityPebbles,16000007.0,JESSIE,9.0,324.0,#JJVGPCLP,hyperbolu,16000003,BROCK,9,312,#8JYJY298,FruityPebbles,16000007,JESSIE,9,324,#PQPVGC9RG,toniasta,16000080.0,DRACO,9.0,339.0,,,,,,,,,,,,
2024-06-12 22:34:22,15000132,BROCK,brawlBall,Center Stage,ranked,brawlBall,victory,110.0,,8.0,#8JYJY298,FruityPebbles,16000007.0,JESSIE,9.0,314.0,#28GVVYJ8G9,surezzHB,16000032,MAX,7,309,#JJVGPCLP,hyperbolu,16000003,BROCK,9,304,#8JYJY298,FruityPebbles,16000007.0,JESSIE,9.0,314.0,,,,,,,,,,,,
2024-06-12 19:39:27,15000132,COLT,brawlBall,Center Stage,ranked,brawlBall,defeat,34.0,,-7.0,#GQ2VVCVYY,LILCOMMANDER24,16000076.0,KIT,10.0,612.0,#JJVGPCLP,hyperbolu,16000001,COLT,11,610,#298C02J,KevinDaBoss,16000002,BULL,6,259,#2V99RU2PR,alligator246,16000078.0,MELODIE,9.0,320.0,,,,,,,,,,,,
