battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies,player_tag,player_name,player_brawler_id,player_brawler_name,player_brawler_power,player_brawler_trophies
20241020T043001.000Z,15000028,duoShowdown,Double Trouble,ranked,duoShowdown,,,2.0,8.0,,,,,,,#QJ092J8CU,bob,16000000.0,SHELLY,11.0,396.0,#2YC2RCUG,Miso,16000068.0,MAISIE,11.0,485.0,,,,,,,,,,,,,,,,,,,,,,,,
20241020T042729.000Z,15000028,duoShowdown,Double Trouble,ranked,duoShowdown,,,1.0,9.0,,,,,,,#QJ092J8CU,bob,16000000.0,SHELLY,11.0,387.0,#2YC2RCUG,Miso,16000068.0,MAISIE,11.0,476.0,,,,,,,,,,,,,,,,,,,,,,,,
20241020T042547.000Z,15000028,duoShowdown,Double Trouble,ranked,duoShowdown,,,5.0,-4.0,,,,,,,#QJ092J8CU,bob,16000000.0,SHELLY,11.0,391.0,#2YC2RCUG,Miso,16000068.0,MAISIE,11.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,
20241020T042321.000Z,15000028,duoShowdown,Double Trouble,ranked,duoShowdown,,,1.0,9.0,,,,,,,#QJ092J8CU,bob,16000000.0,SHELLY,11.0,382.0,#2YC2RCUG,Miso,16000068.0,MAISIE,11.0,469.0,,,,,,,,,,,,,,,,,,,,,,,,
20240605T153434.000Z,15000096,duoShowdown,Stormy Plains,ranked,duoShowdown,,,5.0,-2.0,,,,,,,#PUYGUYPQY,Danosilva,16000023.0,LEON,4.0,10.0,#QJ092J8CU,bob,16000077.0,LARRY & LAWRIE,1.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,
20240605T153219.000Z,15000096,duoShowdown,Stormy Plains,ranked,duoShowdown,,,1.0,9.0,,,,,,,#PUYGUYPQY,Danosilva,16000023.0,LEON,4.0,0.0,#QJ092J8CU,bob,16000077.0,LARRY & LAWRIE,1.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,
20240605T153209.000Z,15000096,duoShowdown,Stormy Plains,ranked,duoShowdown,,,4.0,-1.0,,,,,,,#JG28JP99C,chilon,16000050.0,GRIFF,5.0,147.0,#QJ092J8CU,bob,16000077.0,LARRY & LAWRIE,1.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,
20240605T152902.000Z,15000096,duoShowdown,Stormy Plains,ranked,duoShowdown,,,1.0,9.0,,,,,,,#QJ092J8CU,bob,16000002.0,BULL,5.0,300.0,#UU9GRQQL9,drrat,16000029.0,BEA,9.0,330.0,,,,,,,,,,,,,,,,,,,,,,,,
20240605T152729.000Z,15000096,duoShowdown,Stormy Plains,ranked,duoShowdown,,,4.0,-3.0,,,,,,,#QJ092J8CU,bob,16000002.0,BULL,5.0,303.0,#QV928LYUL,Chris,16000015.0,PIPER,6.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,
20240605T152437.000Z,15000096,duoShowdown,Stormy Plains,ranked,duoShowdown,,,1.0,9.0,,,,,,,#QJ092J8CU,bob,16000076.0,KIT,9.0,212.0,#CQ2RYQQU,Jade,16000008.0,NITA,7.0,241.0,,,,,,,,,,,,,,,,,,,,,,,,
20240605T152347.000Z,15000096,duoShowdown,Stormy Plains,ranked,duoShowdown,,,4.0,-2.0,,,,,,,#CQ2RYQQU,Jade,16000008.0,NITA,7.0,243.0,#QJ092J8CU,bob,16000076.0,KIT,9.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,
20240605T152208.000Z,15000096,duoShowdown,Stormy Plains,ranked,duoShowdown,,,2.0,7.0,,,,,,,#QJ092J8CU,bob,16000076.0,KIT,9.0,207.0,#22UJU2YJV2,djuliann,16000021.0,GENE,6.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,
20240605T152043.000Z,15000096,duoShowdown,Stormy Plains,ranked,duoShowdown,,,5.0,-3.0,,,,,,,#R9YVJ9JJ2,Hubert,16000020.0,FRANK,6.0,225.0,#QJ092J8CU,bob,16000076.0,KIT,9.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,
20240605T151049.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240605T151017.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,10.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240605T150834.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240605T150730.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240605T150711.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,9.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240605T150648.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240605T150254.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240605T150137.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240605T150044.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240605T145906.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240529T233717.000Z,15000293,hotZone,Parallel Plays,ranked,hotZone,victory,89.0,,8.0,#V2CGP0YG,첨앤다그래,16000003.0,BROCK,6.0,222.0,#QJ092J8CU,bob,16000016.0,PAM,5.0,166.0,#PQVCJLQR,Bladesbh,16000012.0,CROW,9.0,261.0,#GGQQLJRVL,Jordi2992,16000045.0,STU,5.0,270.0,,,,,,,,,,,,,,,,,,
20240529T233511.000Z,15000293,hotZone,Parallel Plays,ranked,hotZone,defeat,101.0,,-2.0,#GRY2QCQV0,angel,16000020.0,FRANK,9.0,159.0,#UG2JQ0PJY,SamuelM197,16000027.0,8-BIT,5.0,104.0,#CJCVLJVQG,Mr.Trax110,16000007.0,JESSIE,4.0,179.0,#QJ092J8CU,bob,16000016.0,PAM,5.0,168.0,,,,,,,,,,,,,,,,,,
20240605T151049.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QJ092J8CU,bob,16000076.0,KIT,9.0,200.0
20240605T151017.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,10.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QJ092J8CU,bob,16000076.0,KIT,9.0,203.0
20240605T150834.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QJ092J8CU,bob,16000076.0,KIT,9.0,200.0
20240605T150730.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QJ092J8CU,bob,16000076.0,KIT,9.0,192.0
20240605T150711.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,9.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QJ092J8CU,bob,16000076.0,KIT,9.0,194.0
20240605T150648.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QJ092J8CU,bob,16000076.0,KIT,9.0,187.0
20240605T150254.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QJ092J8CU,bob,16000016.0,PAM,5.0,184.0
20240605T150137.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QJ092J8CU,bob,16000016.0,PAM,5.0,184.0
20240605T150044.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QJ092J8CU,bob,16000016.0,PAM,5.0,181.0
20240605T145906.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QJ092J8CU,bob,16000016.0,PAM,5.0,174.0
20241020T043001.000Z,15000028,duoShowdown,Double Trouble,ranked,duoShowdown,,,2.0,8.0,,,,,,,#QJ092J8CU,bob,16000000.0,SHELLY,11.0,396.0,#2YC2RCUG,Miso,16000068.0,MAISIE,11.0,485.0,,,,,,,,,,,,,,,,,,,,,,SHELLY,,
